DBNs,Funding
17K191,1750083
04M007,2144450
02M225,1968924
09X339,4858807
11X370,2794643
09X218,4427969
28Q175,3557493
28Q174,3336438
11X272,2775432
11X270,3303995
20K609,1847027
11X105,8036020
11X106,6310994
03M333,3781543
20K259,6941404
14K110,2279489
22K014,4195265
12X267,2275435
11X108,3297949
17K334,1523051
29Q038,1671959
12X300,3287353
10X331,2533497
75Q811,0
08X130,2865185
09X505,4252889
31R063,2625898
31R060,4740360
27Q137,8592364
25Q194,5868227
01M188,2476121
31R065,1253212
01M184,3002823
84X496,0
24Q143,7755893
02M408,3212614
21K303,4220635
03M166,2885647
27Q232,6026490
11X194,6625032
06M018,2461186
26Q191,1840536
02M033,2058507
13K313,1397116
16K584,1516316
10X051,1778381
08X138,4617332
07X001,3720136
17K533,2866863
13K093,1946496
07X005,3083982
19K224,4257277
11X103,5868327
28Q680,3190569
05M344,0
17K531,2280691
21K281,6584595
06M152,4247892
21K288,2983761
09X219,2733632
29Q132,2146693
29Q131,3968500
29Q136,3352776
18K114,3973568
29Q134,3238211
29Q135,5533903
29Q033,5609228
12X150,4581878
29Q138,4895162
18K115,5655768
29Q037,2656621
29Q036,2552404
29Q035,3343825
29Q034,2824911
04M224,1351182
84X422,0
01M134,2243799
04M072,3404470
01M137,1800663
20K180,6912728
02M276,1384561
02M130,4639648
13K020,2125977
15K261,4214652
84R067,0
10X094,5432138
10X095,6969259
30Q084,2551365
30Q085,2694826
10X159,1738242
10X091,4144794
14K071,5364502
30Q230,4780469
02M059,2811101
29Q295,2840654
02M290,3258912
13K008,2701407
08X424,2812381
75Q075,0
32K106,3596157
04M610,2150994
15K497,2893023
15K146,3359052
09X457,2746645
24Q560,2949967
09X109,3785370
19K452,1549581
32K383,4659043
30Q580,2655479
31R018,3608508
15K464,2473439
15K463,2124729
15K462,2778871
84Q341,0
28Q206,3321478
84M386,0
09X323,2956915
25Q163,3007131
11X087,3096587
84M382,0
25Q164,3594391
09X324,2154735
11X498,1415759
25Q169,2458382
09X042,3633762
28Q140,3659109
11X326,2474018
11X089,7346476
14K330,999974
11X322,3366219
17K022,2989589
04M045,2229726
16K243,2666524
02M126,4161899
02M006,4155406
75K231,0
25Q242,2836610
12X066,4753248
23K671,535085
08X376,2360247
02M198,2968314
10X243,3637178
06M348,3315357
06M349,1172188
19K013,3268859
02M003,3299908
06M346,2710904
