School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
2013-14,K819,19K409,East New York Family Academy,K409,2057 LINDEN BOULEVARD,K,19,468,,1,East New York Family Academy,0,0,1,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K824,17K489,W.E.B. Dubois Academic High School,K489,402 EASTERN PARKWAY,K,17,131,402 EASTERN PARKWAY CONSOLIDATED LOCATION,2,W.E.B. Dubois Academic High School|ALC- W.E.B Dubois|402 EASTERN PARKWAY CONSOLIDATION LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K824,88K981      ,ALC- W.E.B Dubois,K981,402 EASTERN PARKWAY,K,17,,402 EASTERN PARKWAY CONSOLIDATED LOCATION,2,W.E.B. Dubois Academic High School|ALC- W.E.B Dubois|402 EASTERN PARKWAY CONSOLIDATION LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K824,,402 EASTERN PARKWAY CONSOLIDATED LOCATION,,402 EASTERN PARKWAY,K,17,131,402 EASTERN PARKWAY CONSOLIDATED LOCATION,2,W.E.B. Dubois Academic High School|ALC- W.E.B Dubois|402 EASTERN PARKWAY CONSOLIDATION LOCATION,1,1,1,2,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K825,15K698,South Brooklyn Community High School,K698,173 CONOVER STREET,K,15,163,,1,South Brooklyn Community High School,0,0,1,0,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K834,15K418,The Children's School,K418,512 CARROLL STREET,K,15,333,512 CARROLL STREET CONSOLIDATED LOCATION,2,P.S. 372 -The Children's School | The Children's School | 512 CARROLL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K834,75K372,P.S. 372 -The Children's School,K372,512 CARROLL STREET,K,15,186,512 CARROLL STREET CONSOLIDATED LOCATION,2,P.S. 372 -The Children's School | The Children's School | 512 CARROLL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K834,,512 CARROLL STREET CONSOLIDATED LOCATION,,512 CARROLL STREET,K,15,519,512 CARROLL STREET CONSOLIDATED LOCATION,2,P.S. 372 -The Children's School | The Children's School | 512 CARROLL STREET CONSOLIDATED LOCATION,0,0,1,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K843,75K004,P.S. K004,K004,530 STANLEY AVENUE,K,19,365,,1,P.S. K004,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K845,15K295,P.S. 295,K295,330 18 STREET,K,15,509,330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K845,15K443,New Voices School of Academic & Creative Arts,K443,330 18 STREET,K,15,531,330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K845,,330 18 STREET CONSOLIDATED LOCATION,,330 18 STREET,K,15,"1,040",330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,0,0,1,0,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,K849,22K134,P.S. K134,K134,4001 18 AVENUE,K,22,534,,1,P.S. K134,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K852,22K326,P.S. 326,K326,1800 UTICA AVENUE,K,22,219,,1,P.S. 326,0,0,0,0,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
