School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
2013-14,K515,18K578,Brooklyn Bridge Academy,K578,6565 FLATLANDS AVENUE,K,18,179,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,6,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K515,18K637,Academy for Conservation and the Environment,K637,6565 FLATLANDS AVENUE,K,18,280,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,6,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K515,,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,,6565 FLATLANDS AVENUE,K,18,"1,758",6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,6,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,1,7,28,4,1,1751-2000,9C,0.81,5.43,8.48,3.24,2.33
2013-14,K520,15K423,Brooklyn Frontiers High School,K423,112 SCHERMERHORN STREET,K,15,169,,1,Brooklyn Frontiers High School,0,0,3,0,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K525,21K525,Edward R. Murrow High School,K525,1600 AVENUE L,K,21,"4,017",,1,Edward R. Murrow High School,2,8,6,8,2,4000+,13C,1.80,7.80,7.60,6.20,2.20
2013-14,K535,22K535,Leon M. Goldstein High School for the Sciences,K535,1830 SHORE BOULEVARD,K,22,"1,046",,1,Leon M. Goldstein High School for the Sciences,0,0,0,0,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,K540,21K540,John Dewey High School,K540,50 AVENUE X,K,21,"1,937",,1,John Dewey High School,3,8,10,3,8,1751-2000,9C,0.81,5.43,8.48,3.24,2.33
2013-14,K554,32K554,All City Leadership Secondary School,K554,321 PALMETTO STREET,K,32,333,,1,All City Leadership Secondary School,0,0,1,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K564,15K667,Sunset Park High School,K667,153 35TH STREET,K,15,"1,309",,1,Sunset Park High School,3,4,3,2,5,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,K580,13K902      ,Westinghouse Evening Hs T/R,K902,105 JOHNSON STREET,K,13,,105 JOHNSON STREET CONSOLIDATED LOCATION,5,"George Westinghouse Career and Technical Education|  Downtown Brooklyn Yabc|  City Polytechnic High School of Engineering, Archi|  G. Westinghouse Evening H.S.|  Westinghouse Evening Hs T/R|  105 JOHNSON STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
